sku,name,unit_price,sale_price,description,image_url
CML1,Chả cá chiên miếng 180k,67500,90000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/CML123.jpg
CML2,Chả cá chiên miếng 150k,57500,75000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/CML123.jpg
CML3,Chả cá chiên miếng 130k,47500,65000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/CML123.jpg
CVL1,Chả cá chiên viên 180k,67500,90000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/CVL123.jpg
CVL2,Chả cá chiên viên 150k,57500,75000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/CVL123.jpg
CVL3,Chả cá chiên viên 130k,47500,65000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/CVL123.jpg
HML2,Chả cá hấp miếng 150k,57500,75000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/HML123.jpg
KCB150,Cá bống bơ tỏi,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KCB150.jpg
KCBD150,Cá bò da,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KCBD150.jpg
KCC150,Cá cơm sấy giòn,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KCC150.jpg
KCM150,Cá mai nướng,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KCM150.jpg
KCV150,Chỉ vàng lá chanh,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KCV150.jpg
KGS150,Ghẹ sữa ram,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KGS150.jpg
KMH150,Mực hấp nước dừa,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KMH150.jpg
KMR150,Mực rim me,33000,45000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/KMR150.jpg
RCT,Rong biển cháy tỏi,28000,35000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/RCT.jpg
RNC,Rong biển nấu canh,43000,50000,,http://learnanything318.ddns.net:10000/chaca2chiem-public/image-prod/RNC.jpg